class 1,class 2,fisher values
F,D,0.12212217011104554
J,D,0.12882184295380011
J,F,0.0748251864605938
H,D,0.05314531657071602
H,F,0.12816295426970614
H,J,0.14415085095097463
A,D,0.09389703754451914
A,F,0.08446043524569016
A,J,0.07407636711564472
A,H,0.08525682334272279
G,D,0.032654114594333095
G,F,0.1131033160797441
G,J,0.09706157083966716
G,H,0.05487876767171818
G,A,0.07754434379506722
W,D,0.0910389510318706
W,F,0.09427896733398686
W,J,0.09124574520279198
W,H,0.05888699331684433
W,A,0.07087442418084294
W,G,0.07927577754046602
N,D,0.07104285078635483
N,F,0.1214374675439379
N,J,0.1333886578922875
N,H,0.028629912242759806
N,A,0.08624583022600199
N,G,0.07108945277974413
N,W,0.056363574901947086
P,D,0.07757351551623877
P,F,0.0322404935301355
P,J,0.11122088000356545
P,H,0.09173390678819734
P,A,0.08084133010834199
P,G,0.10275857561694754
P,W,0.08723309897013212
P,N,0.09513648124917731
X,D,0.15386668703811163
X,F,0.08376092277080932
X,J,0.08507237127179029
X,H,0.10743526113726115
X,A,0.08225964717996676
X,G,0.1258915361903103
X,W,0.08679113230118041
X,N,0.06142705065211273
X,P,0.11531568503136908
I,D,0.18927585701476385
I,F,0.07079638085844218
I,J,0.018020917425736197
I,H,0.21545015997020506
I,A,0.12222347597629624
I,G,0.14411582152496183
I,W,0.13097117524261911
I,N,0.16836140839073327
I,P,0.147999848137654
I,X,0.11314866694931651
Y,D,0.14285663406169277
Y,F,0.057998610163264575
Y,J,0.07562993682284128
Y,H,0.124167490071787
Y,A,0.12057817193324259
Y,G,0.12707214200316655
Y,W,0.12289493606129528
Y,N,0.10862256648836775
Y,P,0.08740888474019258
Y,X,0.08827973821617394
Y,I,0.08714784962428362
T,D,0.18551970742810314
T,F,0.058628225576231846
T,J,0.049109705992976094
T,H,0.19393743259122176
T,A,0.14767109764631184
T,G,0.16233921924090527
T,W,0.12204931042965775
T,N,0.1411041267054867
T,P,0.11481599824789018
T,X,0.1054402473988268
T,I,0.03727871139019198
T,Y,0.05128823482561322
K,D,0.09342352704916876
K,F,0.07803628299789625
K,J,0.104724860340998
K,H,0.06425801651198348
K,A,0.058997586183874386
K,G,0.0808362063941166
K,W,0.07435745770728036
K,N,0.053925143684798185
K,P,0.08491998006370591
K,X,0.02584227953999057
K,I,0.1444431066758251
K,Y,0.09606580261245513
K,T,0.13735610101681556
E,D,0.08432639838055785
E,F,0.058613334133332515
E,J,0.09667881123476514
E,H,0.09264450147870273
E,A,0.08592929364316666
E,G,0.06031746296172162
E,W,0.11870036169215153
E,N,0.10721754464269156
E,P,0.09194857705303701
E,X,0.0804192388895272
E,I,0.09409760056183714
E,Y,0.0891640405644228
E,T,0.12349295575602309
E,K,0.05719748057362979
V,D,0.08825153437342581
V,F,0.0664504917911791
V,J,0.09869203268943966
V,H,0.09246968299364981
V,A,0.11457243235898354
V,G,0.08497357010857899
V,W,0.09262823787438734
V,N,0.10206422010174433
V,P,0.06567622125510687
V,X,0.11465369864462802
V,I,0.134139635879523
V,Y,0.032930464630690735
V,T,0.10426073645715321
V,K,0.08436241976932951
V,E,0.07570919676071672
M,D,0.07642257324871483
M,F,0.11292982777006941
M,J,0.12948042629568912
M,H,0.03700122857067252
M,A,0.09710471758912001
M,G,0.07788719276339845
M,W,0.06398593411606412
M,N,0.04458424521449624
M,P,0.08532226205918203
M,X,0.10463395038288938
M,I,0.1735768220265152
M,Y,0.07013464082436136
M,T,0.12721314246683815
M,K,0.08710298442004066
M,E,0.12314298738738538
M,V,0.062021108458035004
S,D,0.071108171170296
S,F,0.08790424033524516
S,J,0.08137878460263608
S,H,0.08047702315083852
S,A,0.07847314269341968
S,G,0.043709189017277675
S,W,0.10104580496682768
S,N,0.07360480880271489
S,P,0.11330659279295147
S,X,0.07401846577767447
S,I,0.10593539199845214
S,Y,0.09161722756500054
S,T,0.12959174342999957
S,K,0.061124102855915005
S,E,0.046530856394813705
S,V,0.08566887845949327
S,M,0.11107727984139693
U,D,0.023571228393280574
U,F,0.10821867536344165
U,J,0.1112929994222481
U,H,0.037862212627512506
U,A,0.09874766464952597
U,G,0.026694402588782314
U,W,0.06116419196832718
U,N,0.05735829112568063
U,P,0.07588204762616749
U,X,0.13597622644591995
U,I,0.1789962468788901
U,Y,0.10813138919295846
U,T,0.1623887912647044
U,K,0.07725775823738387
U,E,0.08150137275400719
U,V,0.0516809304797854
U,M,0.0558672893927865
U,S,0.07203845264488713
C,D,0.05792436875778543
C,F,0.07720187337711487
C,J,0.09142011610618053
C,H,0.10398848477774994
C,A,0.09352472930461847
C,G,0.037863762674970894
C,W,0.10766750170268138
C,N,0.10685136642380846
C,P,0.0913749733576117
C,X,0.12863536981531762
C,I,0.11665856153682355
C,Y,0.10773781854636813
C,T,0.1298944281912013
C,K,0.07591339096864429
C,E,0.03961320888466201
C,V,0.0718908254443198
C,M,0.10767465602036116
C,S,0.07680078582901807
C,U,0.04808363489166758
B,D,0.03592466915102652
B,F,0.11071037896462552
B,J,0.13203854374280163
B,H,0.046001730911078814
B,A,0.07646015045751763
B,G,0.03998565615375155
B,W,0.1026233465699642
B,N,0.07044681172882258
B,P,0.09842464970845233
B,X,0.10106660039408571
B,I,0.17542583375898463
B,Y,0.12131952945813451
B,T,0.18612231460979428
B,K,0.057337165923916404
B,E,0.0447623509211581
B,V,0.08441388741436823
B,M,0.08937374877373544
B,S,0.03490547111305176
B,U,0.04841517525548525
B,C,0.07706435659732243
O,D,0.015904693959584305
O,F,0.13616382012427067
O,J,0.1191409159541641
O,H,0.06530902706442299
O,A,0.10394227150464819
O,G,0.022410956036335083
O,W,0.08902475709146065
O,N,0.08285615138381805
O,P,0.09759049732024128
O,X,0.17611955053155645
O,I,0.18633053672919841
O,Y,0.1502394894025813
O,T,0.18111342799426833
O,K,0.11825948857974469
O,E,0.10460987043656074
O,V,0.10280397708145353
O,M,0.07521014804671869
O,S,0.07607420800674411
O,U,0.026554919990862506
O,C,0.060047943758175085
O,B,0.05761662121078646
R,D,0.049394246562369556
R,F,0.08206190325688525
R,J,0.1100766515250944
R,H,0.04175991687225635
R,A,0.05133894771415272
R,G,0.05974759253450655
R,W,0.08092388268071646
R,N,0.04711998371738436
R,P,0.05335197548571094
R,X,0.06796939229742713
R,I,0.16137691103684515
R,Y,0.0986518024288831
R,T,0.1585349407154772
R,K,0.03670888684714025
R,E,0.057881051563180394
R,V,0.07240374659014756
R,M,0.0708007570997721
R,S,0.0604309472554629
R,U,0.0576834836648937
R,C,0.0716954989745745
R,B,0.037199002641656334
R,O,0.06985407425518704
Z,D,0.11118843669299971
Z,F,0.10396731001134678
Z,J,0.06809356193300405
Z,H,0.13051344847653765
Z,A,0.11324398530548929
Z,G,0.09857162764383187
Z,W,0.12878709911443667
Z,N,0.13761029010114756
Z,P,0.14420485803032002
Z,X,0.06370013648512074
Z,I,0.07976173654218731
Z,Y,0.11559779914714749
Z,T,0.11130197199517788
Z,K,0.0722562031762009
Z,E,0.05752356015591833
Z,V,0.1259611047488067
Z,M,0.1428803063343903
Z,S,0.08358890642393536
Z,U,0.11454370126765981
Z,C,0.08896077167704021
Z,B,0.08045893521795358
Z,O,0.12537248194717718
Z,R,0.09606819798478144
Q,D,0.043299960473793905
Q,F,0.09524875115183967
Q,J,0.07232799194925381
Q,H,0.06413765086947401
Q,A,0.06570558521051577
Q,G,0.031839938953077775
Q,W,0.06938642453404943
Q,N,0.07437023959091527
Q,P,0.06734755520264035
Q,X,0.1253151434173901
Q,I,0.12390825503313266
Q,Y,0.08735519686687346
Q,T,0.12491330459259682
Q,K,0.08425940266208644
Q,E,0.08274086748549861
Q,V,0.04979805656765584
Q,M,0.06487830333833057
Q,S,0.06970448070273949
Q,U,0.034237763444220505
Q,C,0.04679025929394698
Q,B,0.06304729934296183
Q,O,0.0354108686311357
Q,R,0.042512683531583544
Q,Z,0.11126444002675695
L,D,0.14548240700301884
L,F,0.07011619604443395
L,J,0.07151036513568831
L,H,0.1725389891660219
L,A,0.09630577155358357
L,G,0.11266840219057406
L,W,0.11184858258556274
L,N,0.13783588675111585
L,P,0.1192898670297458
L,X,0.09422929014231043
L,I,0.05114800649597126
L,Y,0.10006188651046684
L,T,0.08599886266789067
L,K,0.09879543268944127
L,E,0.07561988730132767
L,V,0.10730232640927029
L,M,0.14439147394254528
L,S,0.1068079394956731
L,U,0.12719928246866882
L,C,0.07710679228629345
L,B,0.14891084050313322
L,O,0.1530687324977722
L,R,0.12771536202308012
L,Z,0.11179785970651784
L,Q,0.10465152445428018
