,classifier,num_support_vectors,train_accuracy,test_accuracy
0,Linear/C=5,[34 70],1.0,0.9942028985507246
1,Linear/C=10,[34 70],1.0,0.9942028985507246
2,Linear/C=15,[34 70],1.0,0.9942028985507246
3,Linear/C=20,[34 70],1.0,0.9942028985507246
4,Linear/C=25,[34 70],1.0,0.9942028985507246
5,Linear/C=30,[34 70],1.0,0.9942028985507246
6,Linear/C=35,[34 70],1.0,0.9942028985507246
7,Linear/C=40,[34 70],1.0,0.9942028985507246
8,Linear/C=45,[34 70],1.0,0.9942028985507246
9,Linear/C=50,[34 70],1.0,0.9942028985507246
10,Poly/d=2,[158 160],0.99204573701218,0.9895652173913043
11,Poly/d=3,[237 247],0.9796172010937112,0.9744927536231884
12,Poly/d=4,[317 315],0.9622172508078548,0.9617391304347827
13,Poly/d=5,[375 369],0.9453144419587373,0.9379710144927537
14,Poly/d=10,[570 568],0.9023117076808352,0.8834782608695653
15,RBF/sigma=2,[1509 1903],1.0,0.8486956521739131
16,RBF/sigma=4,[1050 1836],1.0,0.9223188405797101
17,RBF/sigma=6,[ 775 1710],1.0,0.9553623188405798
18,RBF/sigma=8,[ 584 1444],0.9997514292816306,0.9773913043478261
19,RBF/sigma=10,[ 474 1212],0.9997514292816306,0.9843478260869565
